"A6";"A10";"A13";"A16";"A18";"A20";"A21";"A22";"A23";"A37";"A40"
"key";"coated";"line";821;"tabloid";1911;25;38;0,2;40;"noband"
"key";"coated";"line";816;"spiegel";1910;45;54;0,167;35;"noband"
"key";"coated";"line";827;"tabloid";1911;50;46;0,2;40;"noband"
"key";"uncoated";"line";802;"catalog";1910;47,5;52;0,267;33;"band"
"key";"uncoated";"line";815;"catalog";1911;50;60;0,3;40;"band"
"key";"uncoated";"line";816;"catalog";1910;57,5;54;0,367;35;"noband"
"key";"coated";"line";813;"catalog";1910;50;64;0,233;40;"band"
"key";"coated";"line";828;"tabloid";1911;35;44;0,2;40;"band"
"key";"uncoated";"line";802;"catalog";1911;55;54;0,267;40;"noband"
"key";"uncoated";"line";827;"tabloid";1910;42,5;58;0,4;40;"band"
"key";"uncoated";"line";802;"spiegel";1910;45;63;0,267;40;"band"
"key";"coated";"line";828;"tabloid";1910;40;62;0,267;40;"noband"
"key";"uncoated";"line";815;"catalog";1910;55;55;0,3;35;"noband"
"key";"uncoated";"line";824;"tabloid";1910;45;55;0,3;45;"noband"
"key";"uncoated";"line";816;"tabloid";1910;49;43;0,35;40;"band"
"key";"uncoated";"line";813;"catalog";1910;55;54;0,233;33;"noband"
"key";"coated";"line";824;"tabloid";1911;30;54;0,333;40;"noband"
"key";"uncoated";"line";821;"tabloid";1910;42,5;52;0,4;40;"band"
"key";"uncoated";"line";813;"catalog";1910;50;66;0,233;40;"band"
"key";"uncoated";"line";816;"tabloid";1910;70;43;0,233;40;"noband"
"key";"coated";"line";813;"catalog";1910;50;64;0,2;40;"band"
"key";"coated";"line";816;"tabloid";1910;35;43;0,367;40;"band"
"key";"uncoated";"line";802;"catalog";1910;60;50;0,3;40;"noband"
"key";"coated";"line";815;"spiegel";1910;35;56;0,267;40;"band"
"key";"uncoated";"line";821;"tabloid";1911;47,5;54;0,3;40;"band"
"key";"coated";"line";828;"tabloid";1910;50;41;0,2;40;"noband"
"key";"coated";"line";816;"spiegel";1910;40;62;0,2;40;"noband"
"key";"coated";"line";813;"catalog";1911;30;42;0,2;40;"noband"
"key";"uncoated";"line";813;"catalog";1910;47,5;54;0,2;30;"noband"
"key";"uncoated";"line";815;"tabloid";1911;35;68;0,4;40;"band"
"key";"uncoated";"xylol";816;"catalog";1911;60;56;0,3;40;"band"
"key";"coated";"line";815;"tabloid";1910;40;38;0,3;33;"noband"
"key";"uncoated";"line";821;"tabloid";1911;45;44;0,267;40;"noband"
"key";"uncoated";"line";815;"tabloid";1910;55;50;0,133;40;"band"
"key";"uncoated";"line";821;"tabloid";1911;50;42;0,2;40;"band"
"key";"uncoated";"line";821;"tabloid";1911;55;53;0,3;40;"band"
"key";"uncoated";"line";821;"tabloid";1911;50;46;0,2;40;"band"
"key";"coated";"line";816;"spiegel";1911;35;50;0,3;40;"noband"
"key";"uncoated";"line";815;"catalog";1911;37,5;44;0,3;40;"noband"
"key";"coated";"line";828;"tabloid";1911;40;47;0,333;40;"band"
"key";"uncoated";"line";815;"tabloid";1911;35;62;0,4;40;"band"
"key";"uncoated";"line";813;"catalog";1910;40;44;0,233;40;"noband"
"key";"uncoated";"line";828;"tabloid";1910;40;44;0,2;40;"noband"
"key";"uncoated";"line";816;"tabloid";1910;40;51;0,233;40;"band"
"key";"coated";"line";827;"tabloid";1910;30;58;0,467;35;"noband"
"key";"uncoated";"line";816;"catalog";1911;47,5;65;0,2;40;"noband"
"key";"coated";"naptha";824;"tabloid";1911;50;45;0,233;40;"noband"
"key";"coated";"line";827;"tabloid";1910;45;69;0,267;40;"noband"
"key";"coated";"line";824;"tabloid";1911;30;56;0,2;40;"noband"
"key";"uncoated";"line";802;"catalog";1911;40;65;0,2;40;"band"
"key";"uncoated";"line";821;"tabloid";1911;45;44;0,267;40;"noband"
"key";"uncoated";"xylol";813;"catalog";1911;57,5;56;0,5;40;"noband"
"key";"uncoated";"line";821;"tabloid";1911;55;45;0,267;40;"noband"
"key";"coated";"line";813;"catalog";1910;35;45;0,3;40;"noband"
"key";"uncoated";"line";816;"catalog";1910;57,5;54;0,367;35;"noband"
"key";"uncoated";"line";802;"catalog";1910;50;69;0,367;40;"band"
"key";"uncoated";"line";824;"tabloid";1911;40;40;0,35;40;"band"
"key";"uncoated";"line";821;"tabloid";1910;50;56;0,267;40;"band"
"key";"uncoated";"line";816;"spiegel";1910;42;42;0,267;40;"band"
"key";"coated";"line";828;"tabloid";1910;50;41;0,2;40;"noband"
"key";"uncoated";"line";802;"catalog";1910;50;52;0,2;33;"band"
"key";"uncoated";"line";824;"tabloid";1910;45;55;0,3;45;"noband"
"key";"uncoated";"line";816;"tabloid";1910;49;43;0,35;40;"band"
"key";"coated";"line";816;"spiegel";1911;40;50;0,3;40;"noband"
"key";"uncoated";"line";816;"catalog";1910;50;40;0,267;40;"noband"
"key";"uncoated";"line";821;"tabloid";1911;45;44;0,267;40;"noband"
"key";"coated";"line";815;"tabloid";1910;30;69;0,3;40;"noband"
"key";"uncoated";"line";821;"tabloid";1911;55;46;0,2;40;"band"
"key";"uncoated";"line";802;"catalog";1911;55;54;0,267;40;"noband"
"key";"coated";"line";816;"tabloid";1910;35;43;0,367;40;"band"
"key";"uncoated";"xylol";816;"tabloid";1910;45;49;0,2;33;"band"
"key";"uncoated";"line";815;"catalog";1910;40;65;0,267;40;"band"
"key";"uncoated";"line";816;"tabloid";1910;40;58;0,267;40;"noband"
"key";"uncoated";"line";815;"catalog";1910;40;54;0,267;40;"band"
"key";"uncoated";"line";821;"tabloid";1910;40;42;0,333;40;"noband"
"key";"uncoated";"line";802;"catalog";1910;32;42;0,233;40;"noband"
"key";"coated";"line";815;"tabloid";1910;40;43;0,233;40;"band"
"key";"uncoated";"line";813;"catalog";1911;60;38;0,333;40;"noband"
"key";"uncoated";"line";816;"tabloid";1911;40;46;0,333;40;"noband"
"key";"uncoated";"line";827;"tabloid";1910;42,5;58;0,4;40;"band"
"key";"coated";"line";815;"tabloid";1910;55,5;54;0,233;35;"noband"
"key";"coated";"line";824;"tabloid";1910;45;42;0,3;40;"band"
"key";"uncoated";"line";813;"catalog";1910;50;66;0,233;40;"band"
"key";"uncoated";"line";821;"tabloid";1911;47,5;54;0,3;40;"band"
"key";"uncoated";"line";821;"tabloid";1911;57,5;51;0,333;30;"noband"
"key";"coated";"line";827;"tabloid";1910;45;69;0,267;40;"noband"
"key";"uncoated";"line";816;"tabloid";1910;37,5;43;0,2;40;"noband"
"key";"uncoated";"line";802;"catalog";1910;45;54;0,333;35;"noband"
"key";"uncoated";"line";821;"tabloid";1910;67,5;50;0,167;40;"band"
"key";"uncoated";"line";802;"catalog";1910;50;52;0,2;33;"band"
"key";"uncoated";"line";802;"catalog";1910;72,5;54;0,2;33;"noband"
"key";"coated";"line";828;"tabloid";1910;40;56;0,3;40;"noband"
"key";"coated";"line";824;"tabloid";1910;30;54;0,5;35;"noband"
"key";"uncoated";"line";816;"catalog";1910;55;54;0,3;35;"noband"
"key";"coated";"line";827;"tabloid";1910;30;58;0,467;35;"noband"
"key";"uncoated";"line";821;"tabloid";1911;55;45;0,267;40;"noband"
"key";"uncoated";"line";816;"tabloid";1911;40;46;0,333;40;"noband"
"key";"coated";"line";824;"tabloid";1910;45;57;0,233;40;"noband"
"key";"coated";"line";828;"tabloid";1910;40;62;0,267;40;"noband"
"key";"uncoated";"line";827;"tabloid";1910;40;39;0,233;40;"noband"
"key";"uncoated";"line";821;"tabloid";1911;55;53;0,3;40;"band"
"key";"coated";"line";815;"spiegel";1910;40;55;0,433;40;"band"
"key";"coated";"line";821;"tabloid";1910;30;54;0,333;35;"noband"
"key";"coated";"line";827;"tabloid";1911;40;42;0,2;40;"band"
